STATION_ID,variable,mean,median
1BCRO009.19,CHLa,4.484733333333334,4.5249999999999995
1BCRO009.19,NITROGEN_TOTAL,0.4730641025641026,0.44833333333333336
1BCRO009.19,PHOSPHORUS_TOTAL,0.014301587301587301,0.015
1BCRO009.19,SECCHI_DEPTH,3.5317777777777777,3.5
1BCRO009.79,CHLa,4.6604777777777775,4.46
1BCRO009.79,NITROGEN_TOTAL,0.4651666666666667,0.46166666666666667
1BCRO009.79,PHOSPHORUS_TOTAL,0.014053968253968254,0.013333333333333334
1BCRO009.79,SECCHI_DEPTH,3.1502222222222223,3.075
1BXCE000.63,CHLa,6.91213492063492,5.761666666666667
1BXCE000.63,NITROGEN_TOTAL,0.500051282051282,0.47833333333333333
1BXCE000.63,PHOSPHORUS_TOTAL,0.01756031746031746,0.018333333333333333
1BXCE000.63,SECCHI_DEPTH,2.838888888888889,2.7
2-APP020.23,PHOSPHORUS_TOTAL,0.03163333333333333,0.03166666666666666
2-APP020.23,SECCHI_DEPTH,1.0716666666666668,1.0583333333333333
2-BRI010.78,CHLa,7.580711111111111,7.2035
2-BRI010.78,NITROGEN_TOTAL,0.4991833333333333,0.5095833333333333
2-BRI010.78,PHOSPHORUS_TOTAL,0.017155555555555556,0.0175
2-BRI010.78,SECCHI_DEPTH,1.5063333333333333,1.4
2-BRI013.12,CHLa,9.690211111111111,8.746500000000001
2-BRI013.12,NITROGEN_TOTAL,0.5301944444444444,0.5216666666666667
2-BRI013.12,PHOSPHORUS_TOTAL,0.020933333333333335,0.021666666666666667
2-BRI013.12,SECCHI_DEPTH,1.2943333333333333,1.21
2-JKS044.60,CHLa,2.629111111111111,2.1288333333333336
2-JKS044.60,PHOSPHORUS_TOTAL,0.013234567901234567,0.012777777777777775
2-JKS044.60,SECCHI_DEPTH,3.3830769230769233,3.45
2-JKS046.40,CHLa,2.94425,2.5575
2-JKS046.40,PHOSPHORUS_TOTAL,0.01204320987654321,0.011944444444444442
2-JKS046.40,SECCHI_DEPTH,3.020952380952381,3.033333333333333
2-JKS048.90,CHLa,3.1244722222222223,3.05
2-JKS048.90,PHOSPHORUS_TOTAL,0.014243827160493827,0.014583333333333334
2-JKS048.90,SECCHI_DEPTH,2.4927380952380953,2.5700000000000003
2-JKS053.48,CHLa,7.538439393939393,6.341666666666667
2-JKS053.48,PHOSPHORUS_TOTAL,0.0273578431372549,0.021666666666666667
2-JKS053.48,SECCHI_DEPTH,1.3404761904761904,1.28
2-MBN000.96,CHLa,11.743792063492064,11.333571428571428
2-MBN000.96,NITROGEN_TOTAL,0.6130634920634921,0.6166666666666667
2-MBN000.96,PHOSPHORUS_TOTAL,0.02626031746031746,0.026666666666666665
2-MBN000.96,SECCHI_DEPTH,1.1182857142857143,1.0683333333333334
2-POL017.59,CHLa,7.252539682539682,7.068722222222222
2-POL017.59,NITROGEN_TOTAL,0.344989898989899,0.3433333333333333
2-POL017.59,PHOSPHORUS_TOTAL,0.014634920634920634,0.015
2-POL017.59,SECCHI_DEPTH,2.3206944444444444,2.3099999999999996
