Variable,STATION_ID,Month,Mean,Min,Max,Nobs,key,model_slope,model_MAD,model_pval,model_intercept
SECCHI_DEPTH,1BCRO009.19,5,3.684615384615385,2,6.6,14,1BCRO009.19_5,0.045555555555555544,0.08535245833333331,0.5417480468750002,-88.04777777777774
SECCHI_DEPTH,1BCRO009.19,6,3.4857142857142858,1.7,5.7,15,1BCRO009.19_6,0.07499999999999998,0.09530999999999999,0.03022593830435838,-146.7
SECCHI_DEPTH,1BCRO009.19,7,3.8071428571428574,1.8,8.3,16,1BCRO009.19_7,0.034313725490196054,0.06609665441176467,0.17260742187500003,-65.51372549019605
SECCHI_DEPTH,1BCRO009.19,8,3.82,2.4,7.6,16,1BCRO009.19_8,0.005513784461152875,0.05739465587044535,0.8903808593750001,-7.659899749373416
SECCHI_DEPTH,1BCRO009.19,9,3.216666666666667,2,4.4,14,1BCRO009.19_9,-0.05644736842105266,0.042948333333333345,0.013435415683849091,117.29473684210527
SECCHI_DEPTH,1BCRO009.19,10,3.146153846153846,0.9,6.1,13,1BCRO009.19_10,0.06555555555555558,0.061186666666666674,0.006103515625000004,-128.22222222222223
SECCHI_DEPTH,1BCRO009.79,5,3.225,1.5,4.8,14,1BCRO009.79_5,-0.05227272727272726,0.06671699999999997,0.14655224568852065,108.62499999999994
SECCHI_DEPTH,1BCRO009.79,6,2.992857142857143,1.7,3.9,15,1BCRO009.79_6,0,0.04236000000000001,0.8936946693232326,3.399999999999636
SECCHI_DEPTH,1BCRO009.79,7,3.28,2,6.1,16,1BCRO009.79_7,0.0029605263157894586,0.04521241486068112,0.42120361328125006,-2.7328947368421055
SECCHI_DEPTH,1BCRO009.79,8,3.4714285714285715,2.4,5.3,16,1BCRO009.79_8,0.010773809523809496,0.09257424999999994,0.8077392578125001,-17.605952380952264
SECCHI_DEPTH,1BCRO009.79,9,3.023076923076923,1.5,4.7,14,1BCRO009.79_9,0.011695906432748522,0.04400114035087716,0.4973144531250002,-20.715204678362536
SECCHI_DEPTH,1BCRO009.79,10,3.0166666666666666,1,5.4,13,1BCRO009.79_10,0.06060606060606062,0.06537854166666666,0.05442754463715264,-118.80000000000004
SECCHI_DEPTH,1BXCE000.63,5,2.775,1.5,4.1,14,1BXCE000.63_5,-0.020000000000000018,0.03369545454545454,0.11953956694235178,43.17999999999993
SECCHI_DEPTH,1BXCE000.63,6,2.7,1.5,4.3,15,1BXCE000.63_6,0.045,0.05892244852941178,0.021058670381610266,-87.55499999999998
SECCHI_DEPTH,1BXCE000.63,7,3.006666666666667,1.6,4.8,16,1BXCE000.63_7,-0.0064583333333333385,0.05136382236842104,0.8469238281250001,15.161875000000041
SECCHI_DEPTH,1BXCE000.63,8,3.12,2.3,4.6,16,1BXCE000.63_8,-0.05,0.05824500000000002,0.07354388753800374,104.10000000000007
SECCHI_DEPTH,1BXCE000.63,9,2.8333333333333335,1.6,4.6,14,1BXCE000.63_9,0,0.05956874999999998,0.8383602338389031,2.400000000000091
SECCHI_DEPTH,1BXCE000.63,10,2.4833333333333334,0.5,3.6,13,1BXCE000.63_10,0.027719298245614032,0.041096631578947364,0.024265276173783462,-53.36947368421053
SECCHI_DEPTH,2-APP020.23,5,1,0.6,1.7,10,2-APP020.23_5,-0.01678321678321678,0.02660675069116929,0.1640625,34.93426573426572
SECCHI_DEPTH,2-APP020.23,6,1.14,0.4,1.9,10,2-APP020.23_6,-0.039999999999999994,0.042007,0.031865021445197136,81.76999999999998
SECCHI_DEPTH,2-APP020.23,7,1.1199999999999999,0.7,1.5,10,2-APP020.23_7,-0.01833333333333333,0.007222923076923082,0.005889270041817481,38.00166666666665
SECCHI_DEPTH,2-APP020.23,8,1.16,0.8,1.7,10,2-APP020.23_8,0.012132352941176462,0.029651999999999994,0.275390625,-23.343749999999986
SECCHI_DEPTH,2-APP020.23,9,1.09,0.6,1.6,10,2-APP020.23_9,-0.004545454545454544,0.008276986013986017,0.7259636262501574,10.345454545454634
SECCHI_DEPTH,2-APP020.23,10,0.9,0.5,1.1,10,2-APP020.23_10,-0.0028571428571428567,0.004235999999999999,0.20408417776557328,6.6571428571428575
SECCHI_DEPTH,2-BRI010.78,5,1.57,1,3.2,10,2-BRI010.78_5,-0.06904761904761904,0.06065181818181817,0.057804009593183596,140.75238095238095
SECCHI_DEPTH,2-BRI010.78,6,1.34,1.1,1.7,10,2-BRI010.78_6,-0.013571428571428583,0.021179999999999994,0.032815858973437854,28.578571428571436
SECCHI_DEPTH,2-BRI010.78,7,1.45,1,2.2,10,2-BRI010.78_7,-0.03428571428571429,0.02329800000000001,0.009029910762692462,70.42428571428572
SECCHI_DEPTH,2-BRI010.78,8,1.6222222222222222,1.2,2.1,9,2-BRI010.78_8,0.0011904761904761906,0.01235500000000001,1,-0.7988095238095116
SECCHI_DEPTH,2-BRI010.78,9,1.8111111111111111,1.1,2.5,9,2-BRI010.78_9,-0.029166666666666664,0.06795250000000003,0.2936215439289059,61.125
SECCHI_DEPTH,2-BRI010.78,10,1.3714285714285714,0.8,1.9,8,2-BRI010.78_10,-0.09166666666666672,0.08154299999999996,0.046875000000000014,185.7250000000001
SECCHI_DEPTH,2-BRI013.12,5,1.3444444444444446,0.7,2.5,10,2-BRI013.12_5,0,0.018826666666666683,0.2807126652684958,1.1000000000000036
SECCHI_DEPTH,2-BRI013.12,6,1.22,0.8,1.8,10,2-BRI013.12_6,-0.013333333333333334,0.020666545454545462,0.09661420844785217,27.876666666666672
SECCHI_DEPTH,2-BRI013.12,7,1.32,0.8,2.1,10,2-BRI013.12_7,-0.0625,0.02753400000000002,0.012772494550201767,127.1875
SECCHI_DEPTH,2-BRI013.12,8,1.3666666666666667,1,1.8,9,2-BRI013.12_8,-0.015476190476190473,0.025191363636363623,0.07421875,32.49880952380951
SECCHI_DEPTH,2-BRI013.12,9,1.475,0.8,2,9,2-BRI013.12_9,-0.052678571428571436,0.03706500000000003,0.0355223366234146,107.70982142857142
SECCHI_DEPTH,2-BRI013.12,10,1.1285714285714286,0.7,1.4,8,2-BRI013.12_10,-0.05,0.03176999999999992,0.015625000000000003,101.55000000000001
SECCHI_DEPTH,2-JKS044.60,5,2.790909090909091,2,4,16,2-JKS044.60_5,0.015964912280701755,0.02366957894736842,0.032312911243244105,-29.70122807017544
