Year,STATION_ID,NITROGEN_TOTAL,DIN
2021,1AAUA012.15,0.265,0.005
2022,1AAUA012.15,0.29333333333333333,0.005
2021,1AAUA013.05,0.25,0.0033333333333333335
2022,1AAUA013.05,0.298,0.006
2021,1ABED000.87,0.25166666666666665,0.0016666666666666668
2022,1ABED000.87,0.294,0.004
2023,1BCLS003.60,0.07166666666666667,0.008333333333333333
2024,1BCLS003.60,0.056666666666666664,0.006666666666666667
2023,1BNTH043.48,0.17833333333333334,0.060000000000000005
2024,1BNTH043.48,0.14,0.026666666666666665
2023,1BNTH045.36,0.15333333333333332,0.06
2024,1BNTH045.36,0.12333333333333334,0.026666666666666665
2021,2-APP020.23,0.55,0.030000000000000002
2023,2-APP020.23,0.5177777777777778,0.034444444444444444
2021,2-APP023.27,0.5533333333333333,0.04833333333333333
2023,2-APP023.27,0.5883333333333334,0.035
2021,2-APP026.67,0.5283333333333333,0.065
2023,2-APP026.67,0.535,0.05333333333333333
2023,2-BVR002.19,0.39666666666666667,0.05
2024,2-BVR002.19,0.36,0.049999999999999996
2021,2-CHK025.15,0.6116666666666667,0.01
2023,2-CHK025.15,0.7666666666666666,0.008333333333333333
2021,2-CHK026.94,0.5983333333333334,0.016666666666666666
2023,2-CHK026.94,0.7316666666666667,0.008333333333333333
2021,2-DSC005.91,0.585,0.03833333333333334
2022,2-DSC005.91,0.516,0.01
2021,2-DSC007.09,0.5633333333333334,0.016666666666666666
2022,2-DSC007.09,0.508,0.01
2022,2-DYC000.19,0.54,0.01
2024,2-DYC000.19,0.49,0.02
2021,2-JCB000.80,0.425,0.045
2022,2-JCB000.80,0.44,0.04833333333333333
2021,2-LCN000.20,0.6766666666666666,0.013333333333333334
2024,2-LCN000.20,0.7633333333333333,0.006666666666666667
2022,2-LHR001.76,0.712,0.028
2022,2-LHR002.56,0.7353333333333333,0.06333333333333334
2021,2-LMD000.02,0.6183333333333333,0.018333333333333333
2024,2-LMD000.02,0.69,0.0033333333333333335
2021,2-LMD001.41,0.6038888888888889,0.03111111111111111
2024,2-LMD001.41,0.6633333333333333,0.007777777777777777
2021,2-LPR000.02,0.44066666666666665,0.018000000000000002
2024,2-LPR000.02,0.4766666666666667,0.01
2022,2-LSL000.16,0.36277777777777775,0.014444444444444446
2022,2-LSL000.20,0.3875,0
2021,2-LTL001.20,0.36,0.006666666666666667
2022,2-LTL001.20,0.325,0.006666666666666667
2021,2-LTL002.46,0.325,0.0033333333333333335
2022,2-LTL002.46,0.31166666666666665,0.006666666666666667
2021,2-NWB002.93,0.51,0.002
2024,2-NWB002.93,0.5733333333333334,0.016666666666666666
2021,2-NWB004.67,0.49,0.002
2024,2-NWB004.67,0.5766666666666667,0.013333333333333334
2021,2-NWB006.06,0.488,0.002
2024,2-NWB006.06,0.5733333333333334,0.01
2022,2-NWB007.04,0.46,0.005333333333333332
2021,2-PKC001.84,0.6699999999999999,0.008333333333333333
2024,2-PKC001.84,0.6433333333333333,0.01
2021,2-POL017.59,0.43333333333333335,0.03333333333333333
2022,2-POL017.59,0.3416666666666667,0.005
2021,2-RRS003.59,0.41333333333333333,0.10333333333333333
2022,2-RRS003.59,0.435,0.12833333333333333
2021,2-RRS005.62,0.5266666666666666,0.14666666666666667
2022,2-RRS005.62,0.5016666666666667,0.12166666666666667
2022,2-SFT031.08,0.5866666666666667,0.013333333333333332
2024,2-SFT031.08,0.5066666666666667,0.016666666666666666
2022,2-SFT033.42,0.5583333333333333,0.008333333333333333
2024,2-SFT033.42,0.52,0.016666666666666666
2022,2-SFT034.38,0.5866666666666667,0.006666666666666667
2024,2-SFT034.38,0.5233333333333333,0.016666666666666666
2021,2-SPE000.17,0.768,0.022
2024,2-SPE000.17,0.7266666666666667,0.016666666666666666
2021,2-SPE001.18,0.776,0.026
2024,2-SPE001.18,0.73,0.016666666666666666
2021,2-TOT001.01,0.86,0.13333333333333333
2022,2-TOT001.01,0.905,0.14
2023,2-XLV002.27,0.175,0.0016666666666666668
2024,2-XLV002.27,0.17666666666666667,0.01
2021,3-MOT000.39,0.2866666666666667,0.03333333333333333
2022,3-MOT000.39,0.298,0.016
2021,3-MOT001.19,0.28833333333333333,0.026666666666666665
2022,3-MOT001.19,0.314,0.014
2021,3-MTN024.05,0.9266666666666666,0.09333333333333334
2022,3-MTN024.05,0.7233333333333334,0.06333333333333334
2021,3-MTN025.04,0.9666666666666667,0.058333333333333334
2022,3-MTN025.04,0.775,0.02666666666666667
2024,3-RPR000.68,0.2833333333333333,0.01
2022,4ABAN012.46,0.445,0.07
2021,4ABWR002.50,0.30916666666666665,0.07333333333333333
2022,4ABWR002.50,0.274,0.060000000000000005
2023,4ACRR008.32,0.44666666666666666,0.055
2024,4ACRR008.32,0.3466666666666667,0.01
2023,4ACRV006.19,0.215,0.0033333333333333335
2024,4ACRV006.19,0.2175,0.01
2023,4ARFK000.20,0.5966666666666667,0.11833333333333333
2023,4AROA000.00,0.32833333333333337,0.06333333333333334
2024,4AROA000.00,0.4066666666666667,0.10666666666666666
2023,4AROA018.36,0.30333333333333334,0.03666666666666667
