Station,model_slope_CHLA,model_MAD_CHLA,model_pval_CHLA,model_intercept_CHLA,model_slope_TN,model_MAD_TN,model_pval_TN,model_intercept_TN,model_slope_DIN,model_MAD_DIN,model_pval_DIN,model_intercept_DIN,model_slope_TP,model_MAD_TP,model_pval_TP,model_intercept_TP,model_slope_TSS,model_MAD_TSS,model_pval_TSS,model_intercept_TSS,model_slope_SECCHI,model_MAD_SECCHI,model_pval_SECCHI,model_intercept_SECCHI
1ADOU000.60,1.3398833333333333,0.8360257849999998,0.010726857857329044,-2674.3777333333337,0.008966666666666689,0.011285409999999987,1,-16.74990000000006,NA,NA,NA,NA,-6.875000000000006e-5,0.0016782208333333314,0.6098450595591846,0.200062500000001,0.5,0.464548,0.003239921272238347,-990,-0.004648148148148144,0.007852288888888895,0.17480468749999997,9.881555555555554
1ANEA000.57,-0.32281249999999995,1.2248870549999997,0.232421875,665.8694999999989,-0.08896520146520147,0.033059807692307715,0.005857099085284128,180.12186813186815,NA,NA,NA,NA,-0.0017559523809523802,0.0016442785256410239,0.005889270041817481,3.6009020146520143,-0.941538461538461,0.4778986410256405,0.005889270041817481,1916.0338461538443,0.03464285714285714,0.00922947916666668,0.014029060898300376,-69.16678571428572
1AOCC002.47,-1.1802202380952382,0.685840758333333,0.01953125,2388.073857142858,-0.0396279761904762,0.012426090277777762,0.01171875,80.73911607142861,NA,NA,NA,NA,-0.0034848484848484843,0.001765891414141414,0.0078125,7.0686363636363625,-0.6405723905723905,0.5217001262626261,0.02734375,1301.0867003367002,0.02670454545454546,0.010823104797979786,0.0390625,-53.040909090909096
1APOH000.93,0.024277777777777898,0.2776271458333335,0.9374999999999998,-33.12166666666735,-0.01584027777777778,0.052333720833333354,0.15625000000000006,33.016479166666684,NA,NA,NA,NA,-0.003833333333333333,0.005189100000000001,0.046875000000000014,7.772666666666664,NA,NA,NA,NA,0,0,0.1814492077214203,0.5
1APOH002.32,0.316416666666667,0.32499415666666615,0.006835937500000005,-624.368083333334,-0.15802083333333333,0.027642253333333318,0.003251806125512239,319.27447916666665,NA,NA,NA,NA,-4.861111111111102e-4,0.0011737249999999998,0.5047392591799147,1.0306944444444426,-0.14166666666666677,0.6177499999999999,0.3012695312500002,294.4833333333336,0.011111111111111108,0.03294666666666666,0.14515128094111193,-21.50555555555555
1AQUA000.43,2.5715416666666666,0.4281213416666669,0.00390625,-5155.695291666667,-0.010133333333333328,0.029034250000000022,0.203125,21.36573333333329,NA,NA,NA,NA,0.0025000000000000005,0.0010378199999999988,0.01171875,-4.954500000000007,1.433333333333333,0.7639508333333339,0.01171875,-2863.766666666666,-0.032916666666666664,0.018267750000000003,0.09765625,66.72833333333331
LE2.2,-0.24232007575757586,0.21793209136363637,0.0058976411819458095,498.8709753787882,-0.007373376623376623,0.008208977972027966,0.0015923527259907567,15.548977272727273,-0.001284699074074074,0.004400575553030303,0.22461498842054986,2.643073333333333,-5.614801864801863e-4,2.660015454545452e-4,4.127768281649536e-5,1.1660877622377621,-0.09936868686868683,0.060623738636363604,4.17525043367582e-4,204.40574494949482,0.003472222222222228,0.01642653409090909,0.7102901192688726,-5.634722222222271
LE3.1,0.20101406926406928,0.16086956730769233,0.0017537222408484092,-392.5208668831169,0.0046666666666666835,0.004117277350427373,0.030968820274677268,-8.792541666666711,-5.580357142857145e-4,8.548370192307688e-4,0.008937932297726525,1.1458690476190494,7.178571428571433e-4,5.402885625000006e-4,2.534389495849609e-4,-1.3864821428571437,0.012878787878787792,0.34044888888888886,0.5774104068187204,-12.349242424242304,-0.012249999999999995,0.008432777777777775,6.386773066050504e-4,25.551166666666646
LE3.2,0.21258403361344524,0.22281212916666662,6.389617919921884e-5,-417.6932492997197,0.00467916666666667,0.003618822850877196,0.007759513775012634,-8.919008333333341,-2.2348484848484722e-5,9.324164062499995e-4,0.2839276309671702,0.053063636363636354,5.711111111111111e-4,5.282448888888907e-4,5.245208740234374e-5,-1.1072688888888895,0.09970238095238096,0.2250375,0.006931076846416632,-193.5014880952381,-0.017619825708061004,0.009307433333333344,5.960464477539071e-7,36.64251089324618
LE3.4,0.25666666666666593,0.1684692500000001,2.5033132590790614e-5,-505.95333333333474,0.008457187499999998,0.005613288333333332,0.0029903989803485164,-16.471708124999992,-4.815476190476193e-4,5.742267045454543e-4,0.03948163986206062,0.9973000000000007,9.77962962962963e-4,9.272010763888892e-4,1.882470936791458e-4,-1.9260064814814812,0.07870370370370366,0.1404578742690058,0.008934442349665528,-153.51388888888889,-0.017916666666666678,0.006419754901960779,2.5033132590790614e-5,37.50875000000001
LE4.1,0.283826923076923,0.1258760663461539,1.3636228324736722e-4,-557.5742884615383,0.0034249999999999893,0.004139439791666689,0.033280741538814426,-6.239616666666609,0.0014930555555555556,0.0028804799999999965,0.46621836471362,-2.9139097222222228,9.297500000000005e-4,9.571418500000012e-4,0.015044927597045923,-1.7861386666666674,-0.12386363636363631,0.6715050877192982,0.3535860009489778,275.742803030303,-0.002878787878787876,0.0037920757575757645,0.00467351873501807,6.356969696969695
LE4.2,0.035248917748917724,0.13552258333333334,0.4839049991655333,-60.529859307359274,0.002022727272727272,0.004656674378787882,0.3242239604659452,-3.548681818181814,9.230769230769239e-4,0.0021297333198380575,0.24716576222476597,-1.75966153846154,2.408333333333346e-4,0.0013593588749999973,0.21821892261505166,-0.4228800000000024,0.15438596491228085,0.41690125730994115,0.5970840714545931,-293.4228070175441,0.0016666666666666661,0.0040153749999999894,0.10234086159109562,-2.5341666666666587
LE4.3,-0.045442890442890446,0.14611934759358286,0.10644761063508881,99.14816433566435,0.001168055555555552,0.002700052009803924,0.18396702680093052,-1.8233249999999732,2.1749999999999965e-4,8.606581249999994e-4,0.3530866710827942,-0.3566599999999994,1.584126984126991e-4,5.399451794871789e-4,0.5202955148188663,-0.26436880952381075,0.08968253968253971,0.2983451704545455,0.12802708148956324,-171.5444444444443,0.006666666666666621,0.015598187500000181,0.0017546755320838536,-12.243333333333203
